case:concept:name,concept:name,start:timestamp,time:timestamp,org:resource
78,Create Purchase Requisition,2011-01-30 01:43:28.560176,2011-01-30 02:25:15.269264,ROLE1_3
78,Analyze Purchase Requisition,2011-01-30 02:25:15.269264,2011-01-30 02:28:15.971375,ROLE2_1
78,Create Request for Quotation,2011-01-30 02:28:15.971375,2011-01-30 02:36:47.323869,ROLE6_0
78,Analyze Request for Quotation,2011-01-30 02:36:47.323869,2011-01-30 03:16:59.345810,ROLE0_6
78,Amend Request for Quotation,2011-01-30 03:16:59.345810,2011-01-30 03:26:19.348187,ROLE1_16
78,Analyze Request for Quotation,2011-01-30 03:26:19.348187,2011-01-30 03:51:43.786900,ROLE1_12
78,Amend Request for Quotation,2011-01-30 03:51:43.786900,2011-01-30 04:00:53.415707,ROLE1_16
78,Analyze Request for Quotation,2011-01-30 04:00:53.415707,2011-01-30 04:21:54.999179,ROLE7_0
78,Amend Request for Quotation,2011-01-30 04:21:54.999179,2011-01-30 04:29:02.712762,ROLE1_7
78,Analyze Request for Quotation,2011-01-30 04:29:02.712762,2011-01-30 04:55:04.713801,ROLE6_15
78,Send Request for Quotation to Supplier,2011-01-30 04:55:04.713801,2011-01-30 05:18:42.417340,ROLE6_16
78,Create Quotation comparison Map,2011-01-30 05:18:42.417340,2011-01-30 06:52:55.844635,ROLE7_1
78,Analyze Quotation Comparison Map,2011-01-30 06:52:55.844635,2011-01-30 07:19:32.778366,ROLE1_3
78,Choose best option,2011-01-30 07:19:32.778366,2011-01-30 07:19:33.778366,ROLE1_11
78,Settle Conditions With Supplier,2011-01-30 07:19:33.778366,2011-01-30 13:26:36.795487,ROLE7_2
78,Create Purchase Order,2011-01-30 13:26:36.795487,2011-01-30 13:34:28.082396,ROLE0_5
78,Confirm Purchase Order,2011-01-30 13:34:28.082396,2011-01-30 13:40:05.793735,ROLE5_3
79,Create Purchase Requisition,2011-01-30 13:50:17.230653,2011-01-30 14:38:49.068493,ROLE1_8
79,Analyze Purchase Requisition,2011-01-30 14:38:49.068493,2011-01-30 14:43:19.004346,ROLE2_1
79,Create Request for Quotation,2011-01-30 14:43:19.004346,2011-01-30 14:48:16.568901,ROLE6_11
79,Analyze Request for Quotation,2011-01-30 14:48:16.568901,2011-01-30 15:06:41.441891,ROLE0_4
79,Amend Request for Quotation,2011-01-30 15:06:41.441891,2011-01-30 15:13:41.201296,ROLE1_8
79,Analyze Request for Quotation,2011-01-30 15:13:41.201296,2011-01-30 15:30:44.234739,ROLE6_10
79,Amend Request for Quotation,2011-01-30 15:30:44.234739,2011-01-30 15:36:45.826994,ROLE1_12
79,Analyze Request for Quotation,2011-01-30 15:36:45.826994,2011-01-30 16:14:53.738975,ROLE1_5
79,Amend Request for Quotation,2011-01-30 16:14:53.738975,2011-01-30 16:22:44.902974,ROLE1_4
79,Analyze Request for Quotation,2011-01-30 16:22:44.902974,2011-01-30 16:25:39.001282,ROLE6_9
79,Send Request for Quotation to Supplier,2011-01-30 16:25:39.001282,2011-01-30 16:49:17.381832,ROLE0_2
79,Create Quotation comparison Map,2011-01-30 16:49:17.381832,2011-01-30 18:56:16.534236,ROLE3_0
79,Analyze Quotation Comparison Map,2011-01-30 18:56:16.534236,2011-01-30 19:10:10.017773,ROLE1_8
